repo_full_name,repo_url,stars,forks,description,last_updated,primary_language,discovered_at
shivamverma321/sort_csrt_tracking,https://github.com/shivamverma321/sort_csrt_tracking,5,1,Building a robust object tracking algorithm using the CSRT approach,2025-08-25T04:43:35Z,Python,2025-10-24T08:14:01.646057
arvas123/tracking,https://github.com/arvas123/tracking,0,0,An implementation of tracking by detection for football videos,2022-09-26T04:27:02Z,Python,2025-10-24T08:14:01.952119
Gfernandes10/BebopControl,https://github.com/Gfernandes10/BebopControl,0,0,,2025-05-06T02:17:49Z,C++,2025-10-24T08:14:02.219455
TAMU-RoboMaster-Computer-Vision/aiming_2019,https://github.com/TAMU-RoboMaster-Computer-Vision/aiming_2019,0,0,,2020-11-05T18:15:37Z,Python,2025-10-24T08:14:02.561861
penny4860/Vehicle-Detection,https://github.com/penny4860/Vehicle-Detection,18,8,"I implemented Vehicle Detection and Tracking algorithm using HOG, SVM, and Kalman filter. This is Udacity Self-Driving CarND Term 1 Project 5: Video for vehicle detection and tracking. ",2024-08-23T13:27:01Z,Python,2025-10-24T08:14:02.859659
Jaiwooyu/shooting_monster,https://github.com/Jaiwooyu/shooting_monster,0,0,,2025-01-23T12:41:05Z,HTML,2025-10-24T08:14:03.158228
student-arham/Traffic-Analyzer,https://github.com/student-arham/Traffic-Analyzer,0,0,,2025-06-25T21:23:50Z,Python,2025-10-24T08:14:03.438425
lukefi/FishTracker,https://github.com/lukefi/FishTracker,7,3,LUKE Fish Tracking,2025-09-14T17:11:56Z,Python,2025-10-24T08:14:03.792791
KadynCBR/MonoVO,https://github.com/KadynCBR/MonoVO,0,0,Monocular Visual Odometry,2025-05-16T01:44:56Z,Python,2025-10-24T08:14:04.094812
Kroangine-Xia/Design-of-a-Gesture-Recognition-based-Robotic-Arm-Control-System,https://github.com/Kroangine-Xia/Design-of-a-Gesture-Recognition-based-Robotic-Arm-Control-System,11,0,,2025-10-10T14:17:33Z,Python,2025-10-24T08:14:04.381098
tcuongg/th2,https://github.com/tcuongg/th2,0,0,,2025-05-14T06:15:49Z,Python,2025-10-24T08:14:04.646674
KooperL/trafficCounter,https://github.com/KooperL/trafficCounter,1,0,,2023-02-17T07:42:15Z,Python,2025-10-24T08:14:04.903784
jpoberhauser/yolov5_ocsort,https://github.com/jpoberhauser/yolov5_ocsort,3,0,How to change OC_SORT official code to work with yolov5 as a detector ,2025-09-02T08:12:09Z,Python,2025-10-24T08:14:05.153178
naturalkind/above-ground,https://github.com/naturalkind/above-ground,5,0,,2025-09-15T07:42:13Z,Python,2025-10-24T08:14:05.441500
khairul-me/Khairul-Project,https://github.com/khairul-me/Khairul-Project,0,0,,2024-11-24T18:09:06Z,Python,2025-10-24T08:14:05.751751
nuclearslippers/SimpleTracker,https://github.com/nuclearslippers/SimpleTracker,0,0,this is a rewriting work for classic MOT,2024-12-09T04:28:23Z,Python,2025-10-24T08:14:06.062334
Yitong-Hong/Trajectory_Reconstruction_System,https://github.com/Yitong-Hong/Trajectory_Reconstruction_System,0,0,,2025-03-22T14:21:34Z,Python,2025-10-24T08:14:06.345155
ee18b101/Localization-of-an-Autonomous-Vehicle,https://github.com/ee18b101/Localization-of-an-Autonomous-Vehicle,8,1,This project is an implementation of Unscented Kalman Filter for Localization of an Autonomous Vehicle given sensor data (GPS and IMU),2025-03-13T03:45:54Z,Python,2025-10-24T08:14:06.630177
JohnPaulPrabhu/Automatic-number-plate-recognition,https://github.com/JohnPaulPrabhu/Automatic-number-plate-recognition,7,1,,2025-06-11T18:26:11Z,Python,2025-10-24T08:14:06.885761
pacew/autotare,https://github.com/pacew/autotare,0,0,,2020-03-30T00:05:03Z,C,2025-10-24T08:14:07.174373
drokeye/anti-drone,https://github.com/drokeye/anti-drone,0,0,,2025-07-01T04:10:09Z,Jupyter Notebook,2025-10-24T08:14:07.403765
ycchen218/Opencv-Object-Tracking,https://github.com/ycchen218/Opencv-Object-Tracking,2,0,Object tracking method by OpenCV,2023-11-26T14:20:49Z,Python,2025-10-24T08:14:07.655650
gvanhorn38/fish_eye,https://github.com/gvanhorn38/fish_eye,6,1,"Analyzing ARIS data to detect, track, and count fish.",2024-12-28T08:57:01Z,Python,2025-10-24T08:14:07.905776
wdings23/mediapipe_pose,https://github.com/wdings23/mediapipe_pose,0,0,match joint orientations with given rig to  landmarks from mediapipe,2024-02-26T06:15:54Z,Python,2025-10-24T08:14:08.204229
maahn/VISSSlib,https://github.com/maahn/VISSSlib,0,1,,2025-09-09T14:02:20Z,Python,2025-10-24T08:14:08.479317
Do-Duc-Toan/Data-UWB-,https://github.com/Do-Duc-Toan/Data-UWB-,0,0,,2024-11-20T15:53:23Z,Python,2025-10-24T08:14:08.739933
varaprasad1016/AICOUNTER,https://github.com/varaprasad1016/AICOUNTER,0,0,,2025-05-16T08:00:23Z,Python,2025-10-24T08:14:09.002622
uttuJod/Car_counter,https://github.com/uttuJod/Car_counter,0,0,,2024-11-22T22:45:08Z,Python,2025-10-24T08:14:09.306569
andreaventuri01/CarSpeed,https://github.com/andreaventuri01/CarSpeed,0,0,Detect the speed of the cars on the street from video,2024-04-18T15:26:16Z,Python,2025-10-24T08:14:09.564719
mcv-m6-video/mcv-m6-2023-team3,https://github.com/mcv-m6-video/mcv-m6-2023-team3,0,1,,2023-04-10T19:30:13Z,Jupyter Notebook,2025-10-24T08:14:09.918203
InnoIPA/ivit-i-app,https://github.com/InnoIPA/ivit-i-app,0,1,AI Application Zoo For iVIT-I,2023-01-12T02:45:42Z,Python,2025-10-24T08:14:10.241477
PhilippeBaumstimler/PRE_detectron2,https://github.com/PhilippeBaumstimler/PRE_detectron2,0,0,,2022-07-20T13:50:09Z,Python,2025-10-24T08:14:10.535993
jeh15/homecart,https://github.com/jeh15/homecart,2,1,,2024-09-18T18:52:17Z,MATLAB,2025-10-24T08:14:10.858237
InspirationRobotics/RoboBoat_2025,https://github.com/InspirationRobotics/RoboBoat_2025,1,0,Team Inspiration's Codebase for the 2025 RoboBoat Competition,2025-09-22T03:19:17Z,Python,2025-10-24T08:14:11.177919
alexpetersburg/TrafficSignDetector_course_work,https://github.com/alexpetersburg/TrafficSignDetector_course_work,0,0,,2023-01-22T13:45:49Z,Python,2025-10-24T08:14:11.433943
vbakhteev/kaggle-impact-detection,https://github.com/vbakhteev/kaggle-impact-detection,4,0,,2021-09-09T20:05:33Z,Python,2025-10-24T08:14:11.695548
NishilPatel99/pedestrian_intension,https://github.com/NishilPatel99/pedestrian_intension,2,0,,2023-01-14T20:21:31Z,PureBasic,2025-10-24T08:14:11.982708
Stern-Lab/BN-SCRIPTS,https://github.com/Stern-Lab/BN-SCRIPTS,0,0,,2024-06-30T17:14:29Z,R,2025-10-24T08:14:12.371629
Logeshvar2004/Retail-Analysis,https://github.com/Logeshvar2004/Retail-Analysis,1,0,Dwell time analysis of persons in supermarket,2025-05-16T08:38:42Z,Python,2025-10-24T08:14:12.638091
waggle-sensor/plugin-trafficstate,https://github.com/waggle-sensor/plugin-trafficstate,0,2,,2021-12-21T15:24:10Z,Python,2025-10-24T08:14:12.998896
LeparaLaMapara/tfilterpy,https://github.com/LeparaLaMapara/tfilterpy,3,1,Python Package for Bayesian filters,2025-04-01T21:10:12Z,Python,2025-10-24T08:14:13.297546
voxel-ai/ByteTrack,https://github.com/voxel-ai/ByteTrack,0,0,,2022-05-15T23:14:24Z,Python,2025-10-24T08:14:13.630431
mcv-m6-video/mcv-c6-2025-team3,https://github.com/mcv-m6-video/mcv-c6-2025-team3,0,0,,2025-04-24T10:21:14Z,Python,2025-10-24T08:14:13.936184
VIRA-LAU/ai-dashboard-service,https://github.com/VIRA-LAU/ai-dashboard-service,1,2,,2023-03-31T22:41:51Z,Python,2025-10-24T08:14:14.215808
RowydaElshaer219/Egyptian-car-plates-recognition,https://github.com/RowydaElshaer219/Egyptian-car-plates-recognition,0,1,,2025-02-26T18:01:26Z,Python,2025-10-24T08:14:14.466702
Ragupriyan/Helmet-and-Number-Plate-Detection-and-Recognition,https://github.com/Ragupriyan/Helmet-and-Number-Plate-Detection-and-Recognition,0,0,,2025-05-23T16:56:32Z,Python,2025-10-24T08:14:14.817063
Jainamrockk/Yolo-Project,https://github.com/Jainamrockk/Yolo-Project,0,0,,2024-07-16T07:35:45Z,Python,2025-10-24T08:14:15.086746
napo/sportvision,https://github.com/napo/sportvision,0,0,"Sportivision is a web application designed to analyze volleyball match and training videos, helping coaches and athletes improve their tactics through features like event tagging and video annotations.",2025-01-10T16:05:07Z,Python,2025-10-24T08:14:15.356621
hnykda/kfsims,https://github.com/hnykda/kfsims,6,0,Implementation of Diffusion Variational Bayes Adaptive Kalman Filter ,2025-03-19T08:17:10Z,Jupyter Notebook,2025-10-24T08:14:15.618275
kevin-ortega2724/Kalman,https://github.com/kevin-ortega2724/Kalman,0,0,"Filtrado de Kalman, movimiento parabólico simple",2024-01-20T03:48:55Z,Python,2025-10-24T08:14:15.869585
Zeynab-Tolounezhad/Computer-Vision-Object-Detection-Tracking-Using-YOLO-SORT,https://github.com/Zeynab-Tolounezhad/Computer-Vision-Object-Detection-Tracking-Using-YOLO-SORT,0,0,Implemented object detection and tracking using AI-based SORT & YOLO algorithms to detect and track video frames of objects and human beings. Implemented Non-Max Suppression (NMS) and Kalman Filtering for maximizing accuracy and minimizing false detection. Adjusted the detection parameters to increase object identification and tracking accuracy.,2025-05-21T19:38:11Z,Jupyter Notebook,2025-10-24T08:14:16.150523
buddhiayesha2015/yolo-v3-speed-detection,https://github.com/buddhiayesha2015/yolo-v3-speed-detection,0,0,,2021-10-14T21:39:39Z,Python,2025-10-24T08:14:16.408799
Kovelja009/hand_wave_detection,https://github.com/Kovelja009/hand_wave_detection,0,0,Hand wave detector which uses custom yolov5s as a backbone for hand detection and random forest for wave classifier.,2024-08-17T15:13:47Z,Jupyter Notebook,2025-10-24T08:14:16.695039
SkikriHassane01/Automatic-number-plate-recognition-with-Yolov8-and-EasyOCR,https://github.com/SkikriHassane01/Automatic-number-plate-recognition-with-Yolov8-and-EasyOCR,0,0,,2025-03-02T16:44:43Z,Python,2025-10-24T08:14:16.947966
TddKim0712/Seoul_park,https://github.com/TddKim0712/Seoul_park,0,0,객체 인식 - 추적,2024-12-28T06:34:58Z,Python,2025-10-24T08:14:17.200705
deepanshusharma007/LIAT_Assignment,https://github.com/deepanshusharma007/LIAT_Assignment,0,0,Tracking football player and mark them a consistent ID,2025-06-25T14:10:45Z,Python,2025-10-24T08:14:17.460875
ai-4-ia/fall_detection,https://github.com/ai-4-ia/fall_detection,0,1,,2023-07-04T08:28:40Z,Jupyter Notebook,2025-10-24T08:14:17.742086
aditya-pandey-ai/Ball-Tracking-Trajectory,https://github.com/aditya-pandey-ai/Ball-Tracking-Trajectory,0,0,A real-time cricket ball tracking system using YOLOv8 for detection and SORT (Simple Online and Realtime Tracking) for tracking.,2025-04-22T22:16:31Z,Python,2025-10-24T08:14:18.028157
Grad-CSE2016/TrackingPeople,https://github.com/Grad-CSE2016/TrackingPeople,0,0,,2016-07-04T22:56:27Z,Python,2025-10-24T08:14:18.345307
Horizonll/Loc-NANO,https://github.com/Horizonll/Loc-NANO,1,0,,2025-05-19T05:13:45Z,Jupyter Notebook,2025-10-24T08:14:18.626169
ahrnbom/guts,https://github.com/ahrnbom/guts,0,0,GUTS and a reimplementation of UTS,2022-02-02T11:02:21Z,Python,2025-10-24T08:14:18.886220
CDevmina/IOT,https://github.com/CDevmina/IOT,0,0,Express Way Entrance Automation,2025-07-03T06:57:52Z,Python,2025-10-24T08:14:19.173671
Michel-12/Exploratory-ANPR-Implementation,https://github.com/Michel-12/Exploratory-ANPR-Implementation,0,0,Exploratory ANPR Implementation for Local Canadian Police Department,2025-06-27T21:03:16Z,Jupyter Notebook,2025-10-24T08:14:19.419625
suryajayaraman/SORT_resources,https://github.com/suryajayaraman/SORT_resources,1,0,References to implementation of SORT algorithm,2022-05-02T13:13:03Z,C++,2025-10-24T08:14:19.695986
BrayanVillatoro/ATGS,https://github.com/BrayanVillatoro/ATGS,0,0,Air To Ground Scanner. Software to deploy on a drone for tracking targets using FLIR.,2024-06-14T19:00:16Z,Python,2025-10-24T08:14:19.943491
Vinil-dignizant/cctv_attendance_monitoring,https://github.com/Vinil-dignizant/cctv_attendance_monitoring,0,0,,2025-07-09T11:40:30Z,Python,2025-10-24T08:14:20.225756
Caramantran/road_watcher,https://github.com/Caramantran/road_watcher,0,0,Road watcher : Intelligent Traffic Monitoring System,2025-04-09T20:26:34Z,Jupyter Notebook,2025-10-24T08:14:20.516384
RavulapalliManas/Atri-tracker,https://github.com/RavulapalliManas/Atri-tracker,0,0,,2025-04-19T19:41:06Z,Python,2025-10-24T08:14:20.812520
trfyrt/Trail-Sumo,https://github.com/trfyrt/Trail-Sumo,2,0,Trail partikel buat robot sumo,2025-06-25T20:16:39Z,Python,2025-10-24T08:14:21.063348
lzr-qifei/Point_Tracker,https://github.com/lzr-qifei/Point_Tracker,0,0,Tracker used for points(either 2d or BEV),2024-07-19T03:37:28Z,Python,2025-10-24T08:14:21.357427
microsoft/HAMS,https://github.com/microsoft/HAMS,7,0,"Code for Automated License Testing from the HAMS group @ Microsoft Research, India",2023-11-15T04:57:47Z,Python,2025-10-24T08:14:22.085769
jiemingcui/Deecamp_AB3DMOT,https://github.com/jiemingcui/Deecamp_AB3DMOT,8,4,A tracking and visualization project base on the Deecamp 2020 dataset,2025-01-20T09:38:27Z,Python,2025-10-24T08:14:22.372702
Vadimych1/CloudBots.Rover,https://github.com/Vadimych1/CloudBots.Rover,1,0,A program for CloudBots (ROBOVEINIK) rover.,2025-03-23T11:08:34Z,Python,2025-10-24T08:14:22.637925
moaaz12-web/Road-traffic-analysis,https://github.com/moaaz12-web/Road-traffic-analysis,0,0,Real time traffic analysis using YOLOv8 and SORT tracker,2024-08-24T20:10:05Z,Python,2025-10-24T08:14:22.879413
tmq24/Football-Object-Detection,https://github.com/tmq24/Football-Object-Detection,0,0,,2025-05-02T12:04:23Z,Jupyter Notebook,2025-10-24T08:14:23.150109
Ch3ckNate/DolphinVision,https://github.com/Ch3ckNate/DolphinVision,1,0,DolphinVision,2025-01-22T14:12:57Z,Python,2025-10-24T08:14:23.432019
Buicongbang04/Pizza_Detect_and_Count,https://github.com/Buicongbang04/Pizza_Detect_and_Count,0,0,,2025-06-18T10:19:47Z,Jupyter Notebook,2025-10-24T08:14:23.711695
uoa-jlab/Smart-Insole-PDR-demo,https://github.com/uoa-jlab/Smart-Insole-PDR-demo,0,0,,2025-07-17T07:05:37Z,Python,2025-10-24T08:14:24.010462
engcang/ros-yolo-sort,https://github.com/engcang/ros-yolo-sort,243,39,"YOLO v3, v4, v5, v6, v7 + SORT tracking + ROS platform. Supporting: YOLO with Darknet, OpenCV(DNN), OpenVINO, TensorRT(tkDNN). SORT supports python(original) and C++. (Not Deep SORT)",2025-08-29T01:51:05Z,C++,2025-10-24T08:14:24.280596
fanqie03/mmdetection.bak,https://github.com/fanqie03/mmdetection.bak,2,0,,2021-05-07T11:25:31Z,Python,2025-10-24T08:14:24.552346
vitalii-manukhov/modern-computer-graphics-itk-vtk-unn-2024,https://github.com/vitalii-manukhov/modern-computer-graphics-itk-vtk-unn-2024,0,0,,2024-05-22T07:13:12Z,Python,2025-10-24T08:14:24.824375
hasit73/Vehicle-direction-identification,https://github.com/hasit73/Vehicle-direction-identification,11,4,"Vehicle direction identification consists of three module detection , tracking and direction recognization.",2025-01-21T14:05:01Z,Python,2025-10-24T08:14:25.075461
PJunhyuk/exercise-pose-analyzer,https://github.com/PJunhyuk/exercise-pose-analyzer,40,10,Exercise pose analyzer based on pose estimation,2025-07-24T07:40:05Z,C++,2025-10-24T08:14:26.063497
janbertelngo/count-people,https://github.com/janbertelngo/count-people,1,1,,2022-02-09T05:02:17Z,C++,2025-10-24T08:14:26.316090
bahia14/Kalman-and-Bayesian-Filters-in-Python,https://github.com/bahia14/Kalman-and-Bayesian-Filters-in-Python,0,0,,2021-06-15T22:29:06Z,Jupyter Notebook,2025-10-24T08:14:26.586872
ZHANG-Xiaoshi/Tactile-classification,https://github.com/ZHANG-Xiaoshi/Tactile-classification,0,0,,2025-05-13T04:57:59Z,Python,2025-10-24T08:14:26.843770
Gfernandes10/interface_bebop,https://github.com/Gfernandes10/interface_bebop,0,0,,2025-01-12T05:45:08Z,Python,2025-10-24T08:14:27.114804
armando-genis/A-robotics,https://github.com/armando-genis/A-robotics,0,0,,2024-05-17T01:41:27Z,Python,2025-10-24T08:14:27.374439
InnoIPA/ivit-i-web-api-fast,https://github.com/InnoIPA/ivit-i-web-api-fast,0,1,"iVIT-I Web API for fastapi, which only support ivit-i-<platform> version 1.1 +",2024-06-27T05:38:23Z,HTML,2025-10-24T08:14:27.724838
waggle-sensor/plugin-trafficcounter,https://github.com/waggle-sensor/plugin-trafficcounter,0,0,,2025-03-24T18:57:28Z,Python,2025-10-24T08:14:28.150691
andrearichichi/VolleyVisionAI,https://github.com/andrearichichi/VolleyVisionAI,0,0,,2024-09-09T07:12:03Z,JavaScript,2025-10-24T08:14:28.478624
Horizonll/NANO-filter,https://github.com/Horizonll/NANO-filter,1,0,,2025-03-30T12:28:13Z,Jupyter Notebook,2025-10-24T08:14:28.782986
ksezgin80/pct,https://github.com/ksezgin80/pct,2,0,Pedestrian Counting Tool: a framework to count pedestrians (or objects) in a video,2022-07-30T07:03:26Z,Jupyter Notebook,2025-10-24T08:14:29.072819
kajro359/face-extractor,https://github.com/kajro359/face-extractor,0,0,,2020-09-13T06:56:27Z,Python,2025-10-24T08:14:29.351135
iamrajee/perception_ws,https://github.com/iamrajee/perception_ws,7,0,,2025-01-25T03:12:41Z,Python,2025-10-24T08:14:29.638895
rlabbe/filterpy,https://github.com/rlabbe/filterpy,3685,664,"Python Kalman filtering and optimal estimation library. Implements Kalman filter, particle filter, Extended Kalman filter, Unscented Kalman filter, g-h (alpha-beta), least squares, H Infinity, smoothers, and more. Has companion book 'Kalman and Bayesian Filters in Python'.",2025-10-24T08:09:39Z,Python,2025-10-24T08:14:29.915017
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut,5305,1758,Official implementation of DeepLabCut: Markerless pose estimation of user-defined features with deep learning for all animals incl. humans,2025-10-23T19:07:04Z,Python,2025-10-24T08:14:30.199592
carl-3070/Kalman-and-Bayesian-Filters-in-Python-zh_cn,https://github.com/carl-3070/Kalman-and-Bayesian-Filters-in-Python-zh_cn,28,4,Kalman and Bayesian Filters in Python的中文翻译,2025-07-11T08:10:27Z,Jupyter Notebook,2025-10-24T08:14:30.448761
ZexinChen/AlphaTracker,https://github.com/ZexinChen/AlphaTracker,72,17,"AlphaTracker is a computer vision pipeline with the practical and real-time advantages , which requires minimal hardware requirements and produces reliable tracking of multiple unmarked animals. An easy-to-use user interface further enables manual inspection and curation of results. ",2025-07-15T05:15:34Z,Jupyter Notebook,2025-10-24T08:14:30.690188
hustvl/SparseTrack,https://github.com/hustvl/SparseTrack,155,14,Official PyTorch implementation of SparseTrack,2025-10-16T12:44:57Z,Python,2025-10-24T08:14:31.058882
drexelwireless/iot-processing-framework,https://github.com/drexelwireless/iot-processing-framework,2,0,,2024-05-10T17:47:02Z,Python,2025-10-24T08:14:31.384401
JvanderKaaij/Filters,https://github.com/JvanderKaaij/Filters,0,0,,2024-11-20T15:14:24Z,Python,2025-10-24T08:14:31.687006
ChuChuIgbokwe/Python-2.7-code,https://github.com/ChuChuIgbokwe/Python-2.7-code,0,0,lots of python code,2017-02-02T18:47:32Z,Python,2025-10-24T08:14:31.943998
jacopodallafior/MPC,https://github.com/jacopodallafior/MPC,0,0,,2024-11-25T17:13:13Z,Python,2025-10-24T08:14:32.227770
utra-robosoccer/soccerbot,https://github.com/utra-robosoccer/soccerbot,155,9,Soccer playing robot representing Canada from University of Toronto,2025-10-11T13:12:32Z,C,2025-10-24T08:14:32.540566
Jpickard1/dynamic-sensor-selection-for-biomarker-discovery,https://github.com/Jpickard1/dynamic-sensor-selection-for-biomarker-discovery,7,0,DSS method for biomarker selection,2025-10-15T14:17:14Z,Jupyter Notebook,2025-10-24T08:14:32.824233
duckietown/workspace-brown2022-duckiedrone,https://github.com/duckietown/workspace-brown2022-duckiedrone,0,1,Workspace used to develop the behavior provided by the repository dt-duckiedrone-core,2024-06-04T14:15:57Z,Python,2025-10-24T08:14:33.148133
simonpatino/Volta-3K,https://github.com/simonpatino/Volta-3K,0,0,"This GitHub project is designed to provide a comprehensive flight control system for a rocket aiming to reach an altitude of 3 km. The code includes modules for calculating the rocket's apogee, monitoring various flight parameters, and managing the deployment of the payload at the optimal time.",2025-06-05T20:18:00Z,C++,2025-10-24T08:14:33.452636
Valentyn1402/Robotics-Computational_Intelligence,https://github.com/Valentyn1402/Robotics-Computational_Intelligence,0,0,Repository for storing project code data ,2024-07-18T13:26:44Z,Makefile,2025-10-24T08:14:33.712192
EricSanchezok/hand_gesture_recognition,https://github.com/EricSanchezok/hand_gesture_recognition,2,0,,2023-06-27T05:39:57Z,Python,2025-10-24T08:14:33.985949
joovec/pylabencoder,https://github.com/joovec/pylabencoder,0,0,".py로 프로젝트 템플릿인데, 앵글 유틸도 있고 주피터 대신 플레이그라운드 ",2025-08-13T03:45:45Z,Python,2025-10-24T08:14:34.241880
sisl/PerceptionAdaptiveStressTesting,https://github.com/sisl/PerceptionAdaptiveStressTesting,7,1,,2025-01-20T11:07:03Z,Python,2025-10-24T08:14:34.545210
carlosferrazza/BodyTransformer,https://github.com/carlosferrazza/BodyTransformer,172,17,Body Transformer: Leveraging Robot Embodiment for Policy Learning,2025-10-13T06:02:39Z,Jupyter Notebook,2025-10-24T08:14:34.845989
PrajnaAgrawal26/ETH-BTC,https://github.com/PrajnaAgrawal26/ETH-BTC,0,0,"The Portfolio Manager is a dynamic, strategy-switching system designed to optimize trading performance in volatile cryptocurrency markets, primarily BTC and ETH.",2025-07-16T17:10:27Z,Python,2025-10-24T08:14:35.158762
YJxyzxyz/road-vision-system,https://github.com/YJxyzxyz/road-vision-system,0,1,综合道路图像处理系统,2025-09-23T13:34:06Z,Python,2025-10-24T08:14:35.415084
Fsoft-AIC/TP-GMOT,https://github.com/Fsoft-AIC/TP-GMOT,3,0,[ECAI 2024] TP-GMOT: Tracking Generic Multiple Object by Textual Prompt with Motion-Appearance Cost (MAC) SORT,2025-05-26T12:54:07Z,Python,2025-10-24T08:14:35.707119
edic-nus/spiderPI,https://github.com/edic-nus/spiderPI,0,0,SpiderPI Dev Repo,2024-08-13T15:50:51Z,C++,2025-10-24T08:14:36.017078
MagnusCaligo/robosub-2018,https://github.com/MagnusCaligo/robosub-2018,3,1,,2019-03-04T18:22:40Z,Python,2025-10-24T08:14:36.282130
Autonomous-droneProject/Kestrel,https://github.com/Autonomous-droneProject/Kestrel,2,7,MainRepo for Compilation,2025-10-23T06:12:47Z,Python,2025-10-24T08:14:36.617871
RedForestAI/WebEyeTrack,https://github.com/RedForestAI/WebEyeTrack,18,9,WebEyeTrack: Real-time Eye-Tracking in the Browser,2025-10-19T04:27:28Z,Jupyter Notebook,2025-10-24T08:14:36.978850
CaioTS/SVD_Compression,https://github.com/CaioTS/SVD_Compression,0,0,,2025-10-08T17:51:53Z,VHDL,2025-10-24T08:14:37.258151
PetteriPulkkinen/TrackingSimPy,https://github.com/PetteriPulkkinen/TrackingSimPy,3,0,Tracking simulator for radar applications.,2024-07-18T13:13:00Z,Python,2025-10-24T08:14:37.549328
zyz-2299mod10/PDM,https://github.com/zyz-2299mod10/PDM,0,0,,2025-06-01T05:21:09Z,Python,2025-10-24T08:14:37.946457
ljx43031/DeepMTT-algorithm,https://github.com/ljx43031/DeepMTT-algorithm,31,9,,2025-10-17T18:29:43Z,Python,2025-10-24T08:14:38.235054
cholin3721/KSEB_Project_Auto_Distribution,https://github.com/cholin3721/KSEB_Project_Auto_Distribution,0,0,This repository is for projects for automatic distribution.,2025-06-20T11:25:23Z,Java,2025-10-24T08:14:38.555703
Vlad-2299/sporotrack,https://github.com/Vlad-2299/sporotrack,0,0,,2025-06-02T13:19:03Z,Python,2025-10-24T08:14:38.870207
mint-lab/filtering_tutorial,https://github.com/mint-lab/filtering_tutorial,39,6,An Intuitive tutorial on Bayesian filtering,2025-10-09T05:45:48Z,Python,2025-10-24T08:14:39.198382
wndgur2/RPI-tests,https://github.com/wndgur2/RPI-tests,0,0,,2025-06-01T21:51:05Z,Python,2025-10-24T08:14:39.494724
